City_Id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Goroka,PG,72.91,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
628,Wanaka,NZ,65.28,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
629,Kikwit,CD,69.03,light rain,-5.041,18.8162,Guest L'Amour
641,Gazanjyk,TM,71.35,overcast clouds,39.2446,55.5154,Railway motel
643,Rio Grande,BR,71.01,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
645,Ascension,US,66.2,overcast clouds,30.2169,-90.9001,Highland Inn
648,Quelimane,MZ,72.0,light rain,-17.8786,36.8883,Hotel Flamingo
651,Keetmanshoop,,70.86,clear sky,-26.5833,18.1333,Quiver Inn Guesthouse
653,Kalabo,ZM,69.89,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
655,Barreirinhas,BR,75.0,moderate rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
659,Micomeseng,GQ,68.85,light rain,2.1462,10.6164,
661,Safaga,EG,66.2,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
666,Xuddur,SO,70.16,clear sky,4.1213,43.8894,Banjanay Hotel
684,Port Augusta,AU,68.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
688,Vilhena,BR,68.56,broken clouds,-12.7406,-60.1458,Hotel Mirage
696,Letlhakane,BW,70.11,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
