City_Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
69,Albany,42.6001,-73.9662,52.0,84,100,3.0,US,moderate rain
70,Bonavista,48.6499,-53.1147,36.0,86,100,1.14,CA,overcast clouds
71,Quang Ngai,15.1167,108.8,77.22,82,68,2.1,VN,broken clouds
72,Karratha,-20.7377,116.8463,86.22,50,5,5.01,AU,clear sky
73,Saint George,37.1041,-113.5841,63.0,14,1,16.11,US,clear sky
74,Aripuana,-9.1667,-60.6333,72.97,98,99,0.89,BR,overcast clouds
75,Arlit,18.7369,7.3853,73.15,11,0,10.07,NE,clear sky
76,Leningradskiy,69.3833,178.4167,-4.83,92,100,13.58,RU,overcast clouds
77,Ailigandi,9.2333,-78.0167,78.69,84,16,8.21,PA,few clouds
78,Tasiilaq,65.6145,-37.6368,6.8,61,40,8.05,GL,scattered clouds
79,Qaanaaq,77.484,-69.3632,-19.77,56,16,8.01,GL,few clouds
80,Hithadhoo,-0.6,73.0833,83.01,70,82,11.23,MV,broken clouds
81,Tuktoyaktuk,69.4541,-133.0374,5.0,72,90,10.36,CA,overcast clouds
82,Kaitangata,-46.2817,169.8464,62.01,89,86,17.0,NZ,overcast clouds
83,Pevek,69.7008,170.3133,-11.47,90,100,3.24,RU,overcast clouds
84,Yeppoon,-23.1333,150.7333,84.2,54,75,4.61,AU,broken clouds
85,Kirillov,59.863,38.3813,35.6,75,0,6.71,RU,clear sky
86,Cape Town,-33.9258,18.4232,68.0,82,0,2.3,ZA,clear sky
87,Maningrida,-12.0667,134.2667,86.07,70,100,2.86,AU,overcast clouds
88,Yerbogachen,61.2767,108.0108,12.0,91,100,5.75,RU,overcast clouds
89,Barauna,-5.08,-37.6167,74.35,91,18,6.46,BR,few clouds
90,Mahebourg,-20.4081,57.7,73.4,100,20,4.61,MU,few clouds
91,La Ronge,55.1001,-105.2842,24.8,58,100,11.5,CA,light snow
92,Mayo,38.8876,-76.5119,57.0,100,90,6.91,US,fog
93,Calama,-22.4667,-68.9333,62.6,29,0,16.11,CL,clear sky
94,Dingle,10.9995,122.6711,82.96,73,100,14.92,PH,overcast clouds
95,Port Moresby,-9.4431,147.1797,87.8,70,40,6.91,PG,scattered clouds
96,Redmond,47.674,-122.1215,48.0,93,100,3.15,US,moderate rain
97,Srednekolymsk,67.45,153.6833,-2.13,84,100,3.8,RU,overcast clouds
98,Freeport,40.6576,-73.5832,54.0,94,90,12.66,US,moderate rain
99,Narsaq,60.9167,-46.05,17.6,53,90,13.8,GL,light snow
100,Robinson,31.4677,-97.1147,66.2,88,90,12.66,US,overcast clouds
101,Port Alfred,-33.5906,26.891,68.5,85,100,15.48,ZA,overcast clouds
102,Saskylakh,71.9167,114.0833,-4.5,92,100,8.97,RU,overcast clouds
103,Vila Franca Do Campo,37.7167,-25.4333,55.4,71,20,4.61,PT,few clouds
104,Kunda,25.7167,81.5167,72.21,27,1,6.11,IN,clear sky
105,Ancud,-41.8697,-73.8203,53.01,66,0,8.05,CL,clear sky
106,Rocha,-34.4833,-54.3333,61.9,90,2,6.08,UY,clear sky
107,Pershotravneve,51.3929,28.8684,26.22,84,5,3.8,UA,clear sky
108,Zorritos,-3.6805,-80.6782,76.8,73,100,3.74,PE,overcast clouds
109,Provideniya,64.3833,-173.3,17.6,73,75,13.42,RU,light snow
110,Dondo,-19.6094,34.7431,69.06,91,46,4.23,MZ,scattered clouds
111,Qiongshan,20.0058,110.3542,71.6,94,90,4.47,CN,overcast clouds
112,Beringovskiy,63.05,179.3167,17.29,78,11,3.62,RU,few clouds
113,Kamenka,51.3223,42.7678,34.0,91,100,15.28,RU,overcast clouds
114,Santa Vitoria Do Palmar,-33.5189,-53.3681,66.74,84,0,7.29,BR,clear sky
115,Vestmannaeyjar,63.4427,-20.2734,35.76,53,100,1.66,IS,overcast clouds
116,Thinadhoo,0.5333,72.9333,82.24,72,89,9.53,MV,overcast clouds
117,Mapiri,-15.25,-68.1667,67.53,97,82,1.52,BO,broken clouds
118,Hagerstown,39.6418,-77.72,57.0,94,90,5.75,US,mist
119,Nikolskoye,59.7035,30.7861,37.99,81,90,8.95,RU,overcast clouds
120,Burnie,-41.0667,145.9167,61.95,80,100,16.22,AU,overcast clouds
121,Port Elizabeth,-33.918,25.5701,68.0,88,75,8.05,ZA,broken clouds
122,Emmauss,56.7805,36.115,26.94,96,34,4.27,RU,scattered clouds
123,Lorengau,-2.0226,147.2712,83.44,73,74,7.09,PG,broken clouds
124,Bowen,-20.0167,148.2333,87.8,70,16,3.44,AU,few clouds
125,Mar Del Plata,-38.0023,-57.5575,71.01,83,75,10.36,AR,mist
126,Camacupa,-12.0167,17.4833,61.21,97,99,3.04,AO,light rain
127,Hermanus,-34.4187,19.2345,68.0,82,0,7.0,ZA,clear sky
128,Mayya,61.7333,130.2811,-11.2,58,0,2.24,RU,clear sky
129,Avarua,-21.2078,-159.775,86.0,74,40,17.27,CK,scattered clouds
130,Price,39.5994,-110.8107,48.2,20,1,11.5,US,clear sky
131,Longyearbyen,78.2186,15.6401,26.6,74,40,12.66,SJ,scattered clouds
132,Atar,20.5169,-13.0499,78.75,14,0,8.08,MR,clear sky
133,Saldanha,-33.0117,17.9442,69.8,68,0,2.3,ZA,clear sky
134,Ponta Delgada,37.7333,-25.6667,55.4,71,20,4.61,PT,few clouds
135,Vanavara,60.34,102.2797,20.57,94,100,6.71,RU,light snow
136,Oranjestad,12.524,-70.027,80.6,74,20,20.71,AW,few clouds
137,Sitka,57.0531,-135.33,39.2,87,75,11.5,US,light snow
138,Marzuq,14.4,46.4667,64.49,24,0,5.17,YE,clear sky
139,Manaure,11.7751,-72.4445,79.52,73,90,21.63,CO,overcast clouds
140,Hobart,-42.8794,147.3294,64.4,82,75,6.91,AU,light rain
141,Namatanai,-3.6667,152.4333,84.6,67,99,7.67,PG,light rain
142,Langham,52.3668,-106.9679,46.4,42,90,12.66,CA,overcast clouds
143,Bonthe,7.5264,-12.505,77.83,80,67,3.83,SL,broken clouds
144,Otane,-39.8833,176.6333,64.99,78,99,3.0,NZ,overcast clouds
145,Barrow,71.2906,-156.7887,-2.2,71,1,6.91,US,clear sky
146,Davila,18.4726,120.5763,80.6,78,20,3.44,PH,few clouds
147,Khatanga,71.9667,102.5,-9.76,95,57,3.62,RU,broken clouds
148,Acajutla,13.5928,-89.8275,72.0,91,8,3.0,SV,clear sky
149,Kapaa,22.0752,-159.319,79.0,78,20,16.11,US,few clouds
150,Nelson Bay,-32.7167,152.15,78.01,57,40,19.57,AU,scattered clouds
151,Chokurdakh,70.6333,147.9167,-12.06,95,83,5.75,RU,broken clouds
152,Bara,10.3744,10.7288,79.23,60,90,9.28,NG,overcast clouds
153,Vila Velha,-20.3297,-40.2925,78.8,83,75,2.3,BR,broken clouds
154,Fairbanks,64.8378,-147.7164,27.0,79,90,5.75,US,light snow
155,Hay River,60.8156,-115.7999,-4.0,65,97,4.61,CA,overcast clouds
156,East London,-33.0153,27.9116,68.05,86,100,10.67,ZA,light rain
157,Korla,41.7597,86.1469,47.64,32,0,7.81,CN,clear sky
158,Uyuni,-20.4597,-66.825,55.17,55,76,6.29,BO,broken clouds
159,Maldonado,-34.6667,-54.9167,68.0,83,0,11.5,UY,clear sky
160,Bella Vista,36.4295,-94.2316,57.2,62,1,6.91,US,clear sky
161,Lompoc,34.6391,-120.4579,62.6,39,1,13.8,US,clear sky
162,Mount Gambier,-37.8333,140.7667,62.6,67,75,16.11,AU,broken clouds
163,Vardo,70.3705,31.1107,34.56,78,98,28.7,NO,overcast clouds
164,Eyl,7.9803,49.8164,73.71,73,0,9.62,SO,clear sky
165,Upernavik,72.7868,-56.1549,-24.5,94,65,4.41,GL,broken clouds
166,La Rioja,42.25,-2.5,42.8,93,0,8.05,ES,clear sky
167,Port Hardy,50.6996,-127.4199,44.6,93,90,12.66,CA,light rain
168,Grindavik,63.8424,-22.4338,28.4,86,75,1.14,IS,broken clouds
169,Thompson,55.7435,-97.8558,12.2,48,75,6.91,CA,broken clouds
170,Hasilpur,29.7122,72.5553,63.9,55,4,3.2,PK,clear sky
171,Faanui,-16.4833,-151.75,83.68,74,98,21.59,PF,overcast clouds
172,Nioro,13.35,-15.75,80.6,25,1,11.43,GM,clear sky
173,Arraial Do Cabo,-22.9661,-42.0278,77.0,88,0,4.36,BR,clear sky
174,Lavrentiya,65.5833,-171.0,18.05,88,96,1.52,RU,overcast clouds
175,Cidreira,-30.1811,-50.2056,73.29,78,3,10.22,BR,clear sky
176,Palimbang,6.2106,124.1894,85.32,64,100,2.46,PH,overcast clouds
177,Cockburn Town,21.4612,-71.1419,77.0,73,40,13.8,TC,scattered clouds
178,Laguna,38.421,-121.4238,68.0,17,1,5.75,US,clear sky
179,Torbay,47.6666,-52.7314,36.0,69,75,5.75,CA,broken clouds
180,Ambanja,-13.6833,48.45,73.76,93,11,3.04,MG,few clouds
181,Verkhnyaya Inta,65.9811,60.3094,27.7,91,100,15.32,RU,overcast clouds
182,Naron,43.5167,-8.1528,51.01,100,0,4.61,ES,clear sky
183,Plettenberg Bay,-34.0527,23.3716,65.57,89,100,6.96,ZA,overcast clouds
184,Storslett,69.7678,21.0247,37.98,95,100,25.52,NO,light rain
185,Balaipungut,1.05,101.2833,77.0,94,100,2.15,ID,haze
186,Oyama,36.3,139.8,64.0,59,75,10.36,JP,broken clouds
187,Teodoro Sampaio,-22.5325,-52.1675,73.63,74,86,5.17,BR,overcast clouds
188,Sao Lourenco Do Sul,-31.3653,-51.9783,71.01,86,3,9.4,BR,clear sky
189,Harper,4.375,-7.7169,78.04,88,100,0.87,LR,overcast clouds
190,Acari,-15.4311,-74.6158,73.18,77,50,4.36,PE,scattered clouds
191,Bilibino,68.0546,166.4372,1.98,81,100,1.48,RU,overcast clouds
192,Atikokan,48.7555,-91.6216,26.11,85,100,11.25,CA,overcast clouds
193,Kuryk,43.2,51.65,44.26,83,100,18.81,KZ,overcast clouds
194,Holme,56.1138,10.1725,44.6,93,90,9.22,DK,overcast clouds
195,Grand Forks,47.9417,-97.4337,41.0,33,1,14.97,US,clear sky
196,Okato,-39.2,173.8833,70.0,53,3,5.01,NZ,clear sky
197,Pangody,65.85,74.4859,4.28,97,98,9.69,RU,overcast clouds
198,Ranong,9.9658,98.6348,75.2,94,0,1.14,TH,clear sky
199,Ginir,7.1333,40.7,57.76,26,2,6.58,ET,clear sky
200,Raga,8.4596,25.678,74.89,65,98,3.44,SS,overcast clouds
201,Batobato,6.8252,126.0846,80.6,83,40,6.91,PH,scattered clouds
202,Verkhovyna,48.1557,24.7911,18.03,92,100,3.13,UA,overcast clouds
203,Erenhot,43.6475,111.9767,45.19,23,50,7.76,CN,scattered clouds
204,Salalah,17.0151,54.0924,77.0,78,20,3.44,OM,few clouds
205,Daru,-9.0763,143.2092,82.31,80,100,3.11,PG,overcast clouds
206,Marawi,7.9986,124.2928,81.0,74,100,3.0,PH,overcast clouds
207,Sorland,67.667,12.6934,37.4,81,75,29.93,NO,light rain
208,Te Anau,-45.4167,167.7167,65.1,54,1,1.07,NZ,clear sky
209,Monrovia,6.3005,-10.7969,78.19,89,100,3.85,LR,overcast clouds
210,Hovd,48.0056,91.6419,29.93,22,61,5.3,MN,broken clouds
211,Vila,42.0304,-8.1588,42.01,87,100,1.99,PT,overcast clouds
212,Victoria,22.2855,114.1577,71.01,72,95,3.0,HK,overcast clouds
213,Hilo,19.7297,-155.09,86.0,45,20,13.8,US,few clouds
214,Puerto Ayora,-0.7393,-90.3518,77.0,93,22,1.99,EC,light rain
215,Los Llanos De Aridane,28.6585,-17.9182,64.4,77,0,8.05,ES,clear sky
216,Tilichiki,60.4667,166.1,15.37,85,100,11.92,RU,overcast clouds
217,Bombay,19.0144,72.8479,80.6,50,0,10.54,IN,smoke
218,Kaeo,-35.1,173.7833,75.0,61,11,3.0,NZ,few clouds
219,Palmer,42.1584,-72.3287,57.2,51,90,5.75,US,overcast clouds
220,Udimskiy,61.1417,45.9144,33.85,92,100,11.95,RU,overcast clouds
221,San Policarpo,12.1791,125.5072,80.78,84,39,13.24,PH,scattered clouds
222,Coihaique,-45.5752,-72.0662,50.0,62,40,3.44,CL,scattered clouds
223,Sovetskiy,61.3614,63.5842,13.37,96,24,4.9,RU,few clouds
224,Nanortalik,60.1432,-45.2371,17.37,57,43,33.98,GL,scattered clouds
225,Erdemli,36.605,34.3084,48.7,45,19,28.66,TR,few clouds
226,Okha,53.5739,142.9478,13.53,66,0,13.24,RU,clear sky
227,Weihe,32.9952,105.3247,47.41,88,100,4.0,CN,overcast clouds
228,Manzhouli,49.6,117.4333,33.49,63,7,13.87,CN,clear sky
229,Bethel,41.3712,-73.414,51.01,94,100,3.0,US,light rain
230,Mul,20.0667,79.6667,78.33,32,1,2.3,IN,clear sky
231,Kibala,9.1104,18.3463,82.63,48,53,3.58,TD,broken clouds
232,Shingu,33.7333,135.9833,53.6,87,75,8.05,JP,broken clouds
233,San Blas,21.5167,-105.2667,75.2,53,75,8.05,MX,broken clouds
234,Saint-Joseph,-21.3667,55.6167,77.0,73,0,6.91,RE,clear sky
235,Yulara,-25.2406,130.9889,77.0,50,0,11.5,AU,clear sky
236,Charlestown,-32.95,151.6667,78.01,67,7,9.22,AU,clear sky
237,Rincon,32.296,-81.2354,69.8,64,90,8.05,US,overcast clouds
238,Luebo,-5.35,21.4167,69.57,98,100,1.1,CD,light rain
239,Antalaha,-14.9003,50.2788,74.89,90,4,3.31,MG,clear sky
240,Sumenep,-7.0167,113.8667,81.52,78,100,1.19,ID,overcast clouds
241,Zaysan,47.4667,84.8667,20.05,74,72,3.09,KZ,broken clouds
242,Mahonda,-6.45,39.4667,82.31,72,1,2.42,TZ,clear sky
243,Aksu,41.1231,80.2644,49.03,25,100,4.97,CN,overcast clouds
244,Rochester,43.1548,-77.6156,59.0,77,82,5.99,US,broken clouds
245,Warrington,53.3925,-2.5802,48.2,81,20,5.75,GB,few clouds
246,Chicama,-7.8447,-79.1469,69.8,94,75,8.05,PE,drizzle
247,Dunedin,-45.8742,170.5036,59.0,87,100,1.01,NZ,overcast clouds
248,Esmeraldas,-19.7625,-44.3139,77.0,61,0,5.75,BR,clear sky
249,Catuday,16.2923,119.8062,80.35,68,86,5.95,PH,overcast clouds
250,Nanakuli,21.3906,-158.1547,80.01,73,90,13.8,US,light rain
251,Virginia Beach,36.8529,-75.978,64.4,82,90,8.05,US,overcast clouds
252,Luorong,24.4058,109.6086,66.9,78,100,1.72,CN,overcast clouds
253,Cumbum,9.7333,77.3,70.97,85,98,1.43,IN,overcast clouds
254,Bagotville,-28.9833,153.4167,80.6,50,0,9.22,AU,clear sky
255,Wageningen,51.9667,5.6667,45.0,93,90,1.14,NL,mist
256,Hambantota,6.1241,81.1185,75.2,100,40,10.56,LK,scattered clouds
257,Richards Bay,-28.783,32.0377,69.64,68,100,3.4,ZA,overcast clouds
258,Kugulta,45.3636,42.3889,30.2,100,90,15.66,RU,mist
259,Cabo San Lucas,22.8909,-109.9124,69.01,59,40,17.27,MX,scattered clouds
260,Cherskiy,68.75,161.3,-0.04,89,100,4.25,RU,overcast clouds
261,Brigantine,39.4101,-74.3646,59.0,94,90,10.36,US,moderate rain
262,Krasnoselkup,65.7,82.4667,11.05,99,96,7.83,RU,overcast clouds
263,Dashitou,43.3067,128.5114,43.07,52,97,3.24,CN,overcast clouds
264,Ostrovnoy,68.0531,39.5131,33.87,85,72,18.81,RU,broken clouds
265,Galapagar,40.5783,-4.0043,55.0,59,100,3.56,ES,overcast clouds
266,Bandarbeyla,9.4942,50.8122,75.2,65,1,5.35,SO,clear sky
267,Neiafu,-18.65,-173.9833,86.0,74,75,8.05,TO,light rain
268,Codrington,-38.2667,141.9667,63.64,67,9,17.43,AU,clear sky
269,Bumba,2.1833,22.4667,72.09,95,100,4.41,CD,overcast clouds
270,Nantong,32.0303,120.8747,58.66,60,91,1.97,CN,overcast clouds
271,Ridgecrest,35.6225,-117.6709,69.8,7,20,11.5,US,few clouds
272,Bathsheba,13.2167,-59.5167,78.8,57,20,16.11,BB,few clouds
273,Innisfail,-17.5333,146.0333,83.21,76,21,2.91,AU,few clouds
274,Conceicao Do Araguaia,-8.2578,-49.2647,74.8,91,100,0.96,BR,overcast clouds
275,Mulchen,-37.7167,-72.2333,64.4,45,0,10.36,CL,clear sky
276,Birin,26.8865,88.0718,62.6,88,20,1.14,NP,mist
277,Santa Ana,33.7456,-117.8678,69.8,28,75,9.22,US,broken clouds
278,Los Chiles,11.0333,-84.7167,77.79,68,35,8.93,CR,scattered clouds
279,Beyneu,45.3167,55.2,51.31,92,35,8.39,KZ,scattered clouds
280,Margate,51.3813,1.3862,48.0,77,100,1.01,GB,overcast clouds
281,Sisimiut,66.9395,-53.6735,-1.14,93,100,7.87,GL,light snow
282,Brandon,27.9378,-82.2859,73.99,78,1,5.12,US,clear sky
283,Fortuna,40.5982,-124.1573,51.01,87,90,10.36,US,overcast clouds
284,Alto Piquiri,-24.0281,-53.4406,73.8,73,100,4.25,BR,overcast clouds
285,Clyde,41.3042,-82.9752,66.0,52,3,15.79,US,clear sky
286,Pasighat,28.0667,95.3333,77.38,32,38,2.59,IN,scattered clouds
287,Yasnyy,51.0333,59.8742,16.99,87,100,9.89,RU,overcast clouds
288,Oktyabrskoye,43.0645,44.7417,37.4,100,100,4.47,RU,overcast clouds
289,Bayan,46.0833,127.4,39.0,77,100,7.54,CN,moderate rain
290,Maniitsoq,65.4167,-52.9,-1.12,86,100,7.96,GL,overcast clouds
291,Igarka,67.4667,86.5833,20.07,95,100,9.95,RU,light snow
292,Seymchan,62.8833,152.4333,-0.6,76,100,10.89,RU,overcast clouds
293,Katsuura,35.1333,140.3,64.0,59,75,12.66,JP,light rain
294,Misratah,32.3754,15.0925,56.26,59,6,16.04,LY,clear sky
295,Bambanglipuro,-7.95,110.2833,81.43,76,100,3.65,ID,overcast clouds
296,Havoysund,70.9963,24.6622,33.8,86,40,9.22,NO,light snow
297,Imbituba,-28.24,-48.6703,75.2,83,75,9.22,BR,broken clouds
298,Lamar,33.6668,-95.5836,71.6,53,90,8.05,US,moderate rain
299,Lilongwe,-13.9669,33.7873,62.53,94,23,3.56,MW,few clouds
300,Kodiak,57.79,-152.4072,44.6,57,75,6.91,US,broken clouds
301,Ajdabiya,30.7554,20.2263,56.52,53,100,11.77,LY,overcast clouds
302,Clyde River,70.4692,-68.5914,-14.8,76,40,16.11,CA,scattered clouds
303,Mulatupo,8.9492,-77.7652,77.72,84,7,8.1,PA,clear sky
304,Denizli,37.8402,29.0698,26.6,80,40,9.22,TR,scattered clouds
